,Weighted amount,Record ID,Deal probability,Is Closed Won,Is closed lost,Amount,Deal Stage,Deal Score_1,Deal Score_2,Deal Score_3,Deal Score_4,Deal Score_5,Deal source attribution 2_Customer Referral - Other,Deal source attribution 2_Customer Referral CSM,Deal source attribution 2_Email campaign,Deal source attribution 2_Event,Deal source attribution 2_Master Agent,Deal source attribution 2_Other,Deal source attribution 2_PAM,Deal source attribution 2_PLG,Deal source attribution 2_Referral Partner,Deal source attribution 2_Search,Deal source attribution 2_Social Media,Deal source attribution 2_SymTrain EE name,Deal source attribution 2_Verint Intro,Forecast category_Closed won,Forecast category_Commit,Forecast category_Not forecasted,Forecast category_Pipeline,Original Traffic Source_Offline Sources,Original Traffic Source_Organic Search,Original Traffic Source_Organic Social,Original Traffic Source_Other Campaigns,Original Traffic Source_Referrals,Create Date_Year,Create Date_Month,Create Date_Quarter,Deal Type_New,Deal Type_PS,Deal Type_Renewal
0,250.0,33774471298,0.2,0,0,1250.0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2025,2,1,1,0,0
1,0.0,33735737768,0.05,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2025,2,1,1,0,0
2,0.0,33758455618,0.05,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2025,2,1,1,0,0
3,0.0,33741931267,0.05,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2025,2,1,1,0,0
4,10000.0,33724679941,0.2,0,0,50000.0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025,2,1,1,0,0
5,2750.0,33514107559,0.05,0,0,55000.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2025,2,1,1,0,0
6,5000.0,33506737561,0.2,0,0,25000.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025,2,1,1,0,0
7,0.0,33503208981,0.0,0,1,66000.0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2025,2,1,1,0,0
8,14400.0,33503207262,0.8,0,0,18000.0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2025,2,1,0,0,1
9,1050.0,33499007642,0.7,0,0,1500.0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2025,2,1,1,0,0
