Weighted amount,Deal Description,"Cumulative time in ""BANT Deal. Pain ID'ed (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Opportunity (Sales Pipeline)"" (HH:mm:ss)",Days to close,Deal Score,Close Date,Deal source attribution 2,"Cumulative time in ""In Trial - Trial in Progress (Sales Pipeline)"" (HH:mm:ss)",Contract Start Date,"Cumulative time in ""Partner Referrals  (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Closed Lost (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Deep Dive. PSP Drafted (Sales Pipeline)"" (HH:mm:ss)",Pipeline,Record ID,Forecast category,Original Traffic Source,Associated Company,Deal owner,Annual contract value,Is Closed (numeric),Amount in company currency,Annual recurring revenue,Monthly recurring revenue,Deal probability,Associated Company (Primary),Is Closed Won,Forecast probability,Contract End Date,Last Activity Date,Contract Term (Months),Trial Start date,Is closed lost,Weighted amount in company currency,Is Deal Closed?,Trial End Date,Deal Name,Amount,"Cumulative time in ""Closed Trial (Sales Pipeline)"" (HH:mm:ss)",Forecast amount,"Cumulative time in ""Negotiation (Sales Pipeline)"" (HH:mm:ss)",Is Open (numeric),"Cumulative time in ""Renewals  (Sales Pipeline)"" (HH:mm:ss)",Create Date,"Cumulative time in ""Contract Sent (Sales Pipeline)"" (HH:mm:ss)",Total contract value,Last Modified Date,"Cumulative time in ""Closed Won (Sales Pipeline)"" (HH:mm:ss)",Deal Stage,Deal Type
250.0,40-50 employees,,,69.0,33.0,2025-05-01 15:26,Event,,,,,,Sales Pipeline,33774471298,Pipeline,Offline Sources,Associated_9ea45ab3,Deal_17defa5f,,0.0,1250.0,,,0.2,Associated_9ea45ab3,False,,,2025-02-20 14:06,,,False,250.0,False,,Deal_a52f6464,1250.0,,1250.0,,1.0,,2025-02-20 15:27,,,2025-02-20 16:28,,Opportunity,New
0.0,"3,000 + Agents.",,,149.0,13.0,2025-07-20 09:06,Referral Partner,,,,,,Sales Pipeline,33735737768,Not forecasted,Offline Sources,Associated_77e18366,Deal_3d3dc242,,0.0,0.0,,,0.05,Associated_77e18366,False,,,,,,False,0.0,False,,Deal_b152b9c3,0.0,,0.0,,1.0,,2025-02-20 08:07,,,2025-02-20 09:08,,Partner Referrals ,New
0.0,5-6k agents,,,149.0,13.0,2025-07-20 09:03,Referral Partner,,,,,,Sales Pipeline,33758455618,Not forecasted,Offline Sources,Associated_77e18366,Deal_3d3dc242,,0.0,0.0,,,0.05,Associated_77e18366,False,,,,,,False,0.0,False,,Deal_edbdb698,0.0,,0.0,,1.0,,2025-02-20 08:04,,,2025-02-20 09:05,,Partner Referrals ,New
0.0,Furthest Along - 300 agents,,,149.0,13.0,2025-07-20 08:55,Referral Partner,,,,,,Sales Pipeline,33741931267,Not forecasted,Offline Sources,Associated_77e18366,Deal_3d3dc242,,0.0,0.0,,,0.05,Associated_77e18366,False,,,,,,False,0.0,False,,Deal_e5cfc33e,0.0,,0.0,,1.0,,2025-02-20 07:58,,,2025-02-20 08:59,,Partner Referrals ,New
10000.0,BPO through partnership with AmplifAI,,,120.0,37.0,2025-06-20 15:01,Master Agent,,,,,,Sales Pipeline,33724679941,Best case,Offline Sources,Associated_edbdb698,Deal_3d3dc242,,0.0,50000.0,,,0.2,Associated_edbdb698,False,,,2025-02-14 15:30,,,False,10000.0,False,,Deal_edbdb698,50000.0,,50000.0,,1.0,,2025-02-19 14:02,,,2025-02-19 15:03,,Deep Dive. PSP Drafted,New
2750.0,BPO,,,149.0,22.0,2025-07-15 14:26,Customer Referral - Other,,,,,,Sales Pipeline,33514107559,Not forecasted,Offline Sources,Associated_61700669,Deal_86a875eb,,0.0,55000.0,,,0.05,Associated_61700669,False,,,2025-02-13 17:00,,,False,2750.0,False,,Deal_13126190,55000.0,,55000.0,,1.0,,2025-02-15 14:28,,,2025-02-15 15:29,,Partner Referrals ,New
5000.0,Training/IC/Writing SOPs,,,149.0,18.0,2025-07-15 14:20,Other,,,,,,Sales Pipeline,33506737561,Best case,Offline Sources,Associated_754ae28b,Deal_86a875eb,,0.0,25000.0,,,0.2,Associated_754ae28b,False,,,2025-02-18 10:00,,,False,5000.0,False,,Deal_bdc4c7a2,25000.0,,25000.0,,1.0,,2025-02-15 14:25,,,2025-02-18 11:14,,Opportunity,New
0.0,BPO,,,2.0,,2025-02-17 08:15,Customer Referral CSM,,,62:43:47,,,Sales Pipeline,33503208981,Not forecasted,Offline Sources,Associated_238a17a9,Deal_86a875eb,,1.0,66000.0,,,0.0,Associated_238a17a9,False,,,2025-01-23 10:30,,,True,0.0,True,,Deal_2090769b,66000.0,,66000.0,,0.0,,2025-02-14 17:31,,,2025-02-17 08:15,,Closed Lost,New
14400.0,Renewal after extended POC,,,136.0,65.0,2025-07-01 16:07,Other,,,,,,Sales Pipeline,33503207262,Pipeline,Offline Sources,Associated_5aea6385,Deal_90c2529c,,0.0,18000.0,,,0.8,Associated_5aea6385,False,,,2025-02-20 14:00,,,False,14400.0,False,,Deal_314b17da,18000.0,,18000.0,,1.0,,2025-02-14 16:09,,,2025-02-20 16:11,,Renewals ,Renewal
1050.0,Trial with Mahindra and 2 additional brands,,,149.0,39.0,2025-07-14 13:25,Referral Partner,,,,,,Sales Pipeline,33499007642,Closed won,Offline Sources,Associated_d828370b,Deal_bb6f872e,,0.0,1500.0,,,0.7,Associated_d828370b,False,,,2025-02-20 06:30,,2025-02-17,False,1050.0,False,2025-04-18,Deal_3c2a794a,1500.0,,1500.0,,1.0,,2025-02-14 13:34,,,2025-02-20 16:21,,Closed Trial,New
