Ticket status,Ticket ID,Create date_Year,Create date_Month,Create date_Quarter,Implementation Duration Days,Ticket status_Won,Ticket status_Lost,Response time hours,Training Completion Count,Requirements for the Trial_Onboarding,Requirements for the Trial_Coaching,Requirements for the Trial_Assessment
7,15899166073,2024,10,4,102.0,0,1,49.4,0,0,0,0
3,17452741013,2024,12,4,,0,0,1516.5113888888889,5,0,1,1
7,1891106581,2023,9,3,118.0,1,0,26.430833333333332,5,1,0,0
2,20395039397,2025,2,1,,0,0,13.536388888888888,0,0,0,0
7,3049197180,2024,7,3,142.0,0,1,0.1,5,1,0,0
7,3049195860,2024,7,3,142.0,0,1,0.08305555555555555,5,1,0,0
7,3295514681,2024,9,3,101.0,1,0,156.10972222222222,0,1,0,0
7,1891162968,2023,8,3,128.0,0,1,17.849166666666665,0,0,1,0
7,2143836064,2023,12,4,63.0,1,0,73.07833333333333,0,0,1,0
7,2564027492,2024,4,2,230.0,1,0,793.4888888888889,4,1,1,0
2,18709099299,2025,1,1,,0,0,983.0566666666666,0,0,0,0
7,19141467250,2025,1,1,0.0,1,0,138.24944444444444,0,0,0,0
7,3021671720,2024,7,3,115.0,1,0,272.04805555555555,0,1,1,0
7,1891053851,2023,6,2,357.0,1,0,2803.133611111111,5,1,1,0
7,2561463559,2024,4,2,51.0,1,0,137.30833333333334,4,0,0,0
2,16228714006,2024,11,4,,0,0,2287.0980555555557,0,0,0,0
7,2751871900,2024,5,2,86.0,1,0,166.665,1,0,0,0
7,2753363511,2024,5,2,120.0,1,0,156.84666666666666,1,1,1,0
7,2816667157,2024,6,2,102.0,1,0,1200.5247222222222,5,0,1,0
7,2076389147,2023,11,4,105.0,0,1,2307.927222222222,0,1,0,0
7,1877074317,2023,6,2,206.0,1,0,1246.9427777777778,4,1,0,0
6,1899348851,2023,9,3,189.0,0,0,233.7525,5,1,0,0
7,16736375605,2024,11,4,76.0,1,0,18.578055555555554,0,1,0,0
4,2825124370,2024,6,2,,0,0,376.41555555555556,0,1,1,0
7,2599763331,2024,4,2,209.0,0,1,1.506388888888889,0,0,0,1
4,18740456283,2025,1,1,,0,0,909.2111111111111,0,0,1,1
7,1891053939,2023,8,3,134.0,1,0,239.84222222222223,5,0,1,0
5,15808675736,2024,10,4,,0,0,1894.756111111111,5,1,1,0
1,2747561853,2024,5,2,,0,0,580.3288888888889,0,0,0,0
7,1891054117,2023,6,2,144.0,0,1,1801.0752777777777,3,0,1,0
7,1934587058,2023,9,3,84.0,0,1,5.284166666666667,0,1,0,0
7,16753716230,2024,11,4,63.0,0,1,1418.1425,0,0,0,0
7,3158836504,2024,8,3,134.0,0,1,49.9225,0,1,1,0
7,2080329216,2023,11,4,89.0,1,0,18.397222222222222,2,1,0,0
7,2987510567,2024,7,3,61.0,1,0,327.4263888888889,0,1,1,0
7,2554327103,2024,4,2,87.0,1,0,170.96055555555554,5,0,0,0
7,2564301460,2024,4,2,83.0,1,0,2546.215833333333,0,0,0,0
7,2564177725,2024,4,2,83.0,1,0,2546.2255555555557,0,0,0,0
7,2227268264,2024,1,1,51.0,0,1,0.04555555555555556,0,1,0,0
7,2116449037,2023,11,4,210.0,1,0,324.6041666666667,5,1,1,0
1,18754945589,2025,1,1,,0,0,285.3880555555556,0,0,0,0
6,3095310856,2024,8,3,183.0,0,0,49.28388888888889,0,1,1,1
4,19129563256,2025,1,1,,0,0,125.11166666666666,0,1,0,0
7,2987488033,2024,7,3,60.0,1,0,145.14027777777778,0,1,1,0
7,2744431115,2024,5,2,122.0,1,0,1408.5194444444444,5,1,0,0
4,2560367486,2024,4,2,,0,0,22.238055555555555,0,1,1,0
7,1901122889,2023,9,3,188.0,1,0,366.41555555555556,5,0,1,0
5,3013474992,2024,7,3,,0,0,163.74305555555554,1,1,1,0
1,16214067009,2024,11,4,,0,0,611.1958333333333,0,0,0,0
4,20622688426,2025,2,1,,0,0,25.89361111111111,0,1,1,0
6,2057988650,2023,11,4,151.0,0,0,27.064166666666665,0,1,0,0
7,1891060810,2023,8,3,83.0,1,0,148.5377777777778,4,1,0,0
5,3374017193,2024,9,3,,0,0,1814.638888888889,5,1,0,0
5,17604956221,2024,12,4,,0,0,913.0475,0,0,0,0
7,2554419503,2023,11,4,190.0,1,0,43.731944444444444,0,0,0,0
3,3537718146,2024,9,3,,0,0,579.0638888888889,5,1,1,0
